SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime,AvgPupil_raw,EffectiveLuminance,PredictedPupil,ResidualPupil,VOICategory,GazeEntropy,TargetSwitchRate,FixationId,KCoefficient,RescueSaccade,ConfusionScore,Confusion
245.4308,Default,Formar,Writebook_5,-510,Default,tutorial,-2.003635,1.418596,0.8522276,-0.6307209,-0.6307209,-0.4520873,4.932253,-6.90352,2.231184,2.053416,0.9294989,-0.2286883,-0.2893671,0.9999999,0.9999999,False,3.349272,3.19551,3.272391,True,True,True,True,True,True,0.0,3.272391,0.425,2.8654404,0.4069507,tutorial,3.8606076,7.5,352,0.15918057,True,0.47212154,False
252.0128,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180471,1.595358,0.9974023,-0.852528,-0.5226817,1.490116e-07,4.116061,-6.233294,2.287658,2.694633,0.8810753,-0.2316877,-0.4123434,0.9997624,0.9991172,False,3.248383,2.039782,2.644082,True,True,True,True,True,False,0.03077698,2.644082,0.425,2.8655689,-0.2214868,tutorial,3.6782517,9.0,365,-0.7564413,True,0.5869386,True
252.828,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180586,1.595546,0.9825349,-0.7402672,-0.6723132,0.0,4.657127,-7.012217,2.227301,1.902869,0.9579936,-0.2078346,-0.1976185,0.9999999,0.9999999,False,2.159882,2.094631,2.127257,True,True,True,True,True,False,0.2017059,2.127257,0.425,2.863319,-0.7360618,tutorial,3.6782517,7.5,368,-0.047191575,True,0.44508865,False
254.9194,Default,Formar,Paper_1,-470,Default,tutorial,0.0,0.0,0.0,-0.9115745,0.1670298,0.3756768,0.0,-7.039582,2.307096,1.971302,0.9115745,-0.1670298,-0.3756768,0.9999999,0.9999999,False,2.368114,2.985244,2.676679,True,True,True,True,True,False,0.04296875,2.676679,0.425,2.8638935,-0.18721461,tutorial,3.299772,6.5,371,0.051946744,True,0.4,False
263.9084,Default,Formar,Writebook_5,-510,Default,tutorial,-1.786887,1.201846,0.8801934,-0.7071068,-0.7071069,0.0,5.066462,-6.695922,2.224236,2.618985,0.8991447,-0.2715787,-0.3431965,0.8512787,0.32741,False,1.831961,3.359181,2.595571,True,True,True,True,True,False,0.04208374,2.595571,0.425,2.866018,-0.27044702,tutorial,4.0759516,5.5,387,-0.5491546,True,0.6250212,True
265.1778,Default,Formar,Writebook_5,-510,Default,tutorial,-1.695525,1.110484,1.360636,-0.7071068,-0.7071069,0.0,5.059482,-6.88078,2.168242,1.871725,0.9549797,-0.2789437,-0.101016,0.9999999,0.9999999,False,3.410026,3.290719,3.350372,True,True,True,True,True,True,0.0,3.350372,0.425,2.863625,0.48674703,tutorial,4.0759516,5.5,391,0.26085156,True,0.5151903,True
270.6696,Default,Formar,Writebook_5,-510,Default,tutorial,-2.01693,1.431889,1.203772,-0.7071068,-0.7071069,0.0,4.92149,-6.934561,2.225985,2.643618,0.9273773,-0.2331914,-0.2925629,0.9585212,0.9208795,False,3.589843,3.006726,3.298285,True,True,True,True,True,False,0.04431152,3.298285,0.425,2.8687963,0.42948866,tutorial,4.2657204,5.5,398,-1.31888,True,0.7531441,True
273.8766,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180585,1.595545,1.512157,-0.7607945,-0.4607819,0.4570253,4.519291,-6.944325,2.287948,2.339621,0.9699184,-0.2041901,-0.1325322,0.9999999,0.9999999,False,3.540928,2.811674,3.176301,True,True,True,True,True,False,0.1222534,3.176301,0.425,2.8634384,0.31286263,tutorial,4.0395594,10.0,403,-1.1152004,True,0.70791185,True
276.9736,Default,Formar,Writebook_5,-510,Default,tutorial,-1.647363,1.062328,1.51217,-0.6760135,-0.6760134,0.2932777,3.809491,-5.49865,2.194425,1.747551,0.9222441,-0.3859055,-0.02329501,0.9999999,0.9999999,False,3.42277,3.000717,3.211743,True,True,True,True,True,True,0.0,3.211743,0.425,2.8671935,0.34454966,tutorial,4.0395594,10.0,412,-0.2935948,True,0.56663084,True
277.6431,Default,Formar,Writebook_5,-510,Default,tutorial,-1.70711,1.12207,1.383189,-0.7071067,-0.707107,5.960464e-08,2.651575,-4.294568,2.196584,1.416989,0.8424822,-0.5385734,-0.01274687,0.9999999,0.9999999,False,3.529989,3.682413,3.606201,True,True,True,True,True,True,0.0,3.606201,0.425,2.8636198,0.7425811,tutorial,4.0395594,10.0,414,-2.3148627,True,0.70791185,True
279.0341,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180586,1.595545,0.8522273,-0.9815974,-0.07661647,-0.1749187,2.166362,-4.582036,2.262408,1.503189,0.8819637,-0.325509,-0.3408577,0.9999667,0.9998255,False,3.557732,3.217499,3.387615,True,True,True,True,True,False,0.04452515,3.387615,0.425,2.8633175,0.5242975,tutorial,2.3023503,9.0,415,-0.39608747,True,0.4792175,False
282.5663,Default,Formar,Writebook_5,-510,Default,tutorial,-2.122204,1.537241,0.8519477,-0.6935103,-0.6935103,-0.1951602,4.124122,-6.311043,2.230064,1.834201,0.9316129,-0.2520725,-0.2618334,0.9999999,0.9999999,False,2.646464,2.900247,2.773355,True,True,True,True,True,False,0.0340271,2.773355,0.425,2.8638728,-0.09051776,tutorial,2.3023503,6.5,426,-0.03454905,True,0.40690982,False
294.1248,Default,Formar,Writebook_5,-510,Default,tutorial,-1.815516,1.230476,0.8999012,-0.7071068,-0.7071069,0.0,4.456086,-6.416183,2.18581,1.224766,0.9531041,-0.2937303,-0.07290363,0.9999999,0.9675219,False,4.588111,2.777373,3.682742,True,True,True,True,True,True,0.0,3.682742,0.425,2.8638737,0.8188684,tutorial,0.9337827,3.0,445,0.20732503,True,0.4,False
298.0668,Default,Formar,Mixer,-558,Default,machine,0.0,0.0,0.0,-0.9398484,0.320378,0.1185029,0.0,-6.250839,2.124951,1.132923,0.9398484,-0.320378,-0.1185029,0.9999999,0.9999999,False,3.155603,2.857757,3.00668,True,True,True,True,True,False,3.595642,3.00668,0.425,2.8638737,0.14280629,machine,1.6940886,3.0,449,1.5413836,True,0.4,False
300.975,Default,Formar,Writebook_5,-510,Default,tutorial,-2.055256,1.470225,0.8521854,-0.6998392,-0.6998397,-0.1430018,4.06308,-6.303506,2.187714,1.195749,0.959452,-0.2627093,-0.1021552,0.9574488,0.8437251,False,2.063733,3.396801,2.730267,True,True,True,True,True,False,0.1117859,2.730267,0.425,2.8638747,-0.13360763,tutorial,1.6940886,4.5,451,-0.484463,True,0.4968926,False
306.0762,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180586,1.595545,1.512157,-0.4824325,0.2686462,0.8337194,0.8909848,-2.761491,2.230282,2.583273,0.3812518,-0.5616411,-0.7343067,0.9999999,0.9999999,False,3.361824,3.324729,3.343277,True,True,True,True,True,False,0.1306763,3.343277,0.425,2.8639965,0.47928047,tutorial,2.5226533,4.5,461,-1.1580949,True,0.6,True
306.6774,Default,Formar,Writebook_5,-510,Default,tutorial,-2.016808,1.490065,1.512157,8.940697e-08,0.0,1.0,1.60031,-2.845109,2.231212,2.663509,0.517588,-0.463127,-0.7194555,0.9999999,0.9999999,False,3.500533,3.142969,3.321751,True,True,True,True,True,False,0.7319031,3.321751,0.425,2.863857,0.4578941,tutorial,2.5226533,3.5,462,0.4374943,True,0.4,False
324.0992,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180586,1.595546,1.512157,-0.4074557,-0.01444682,0.9131108,1.037535,-2.798432,2.230928,2.67017,0.3991368,-0.6193581,-0.6760808,0.9999999,0.9965042,False,3.431297,3.637349,3.534323,True,True,True,True,True,False,15.02707,3.534323,0.425,2.8638737,0.67044926,tutorial,3.0152826,0.0,496,-0.33125278,True,0.066250555,False
326.5497,Default,Formar,Writebook_5,-510,Default,tutorial,-1.887144,1.551619,1.512157,8.940697e-08,0.0,1.0,1.705102,-2.876569,2.253353,2.710481,0.5802729,-0.4115498,-0.7027874,0.9999778,0.99689,False,3.865531,2.84679,3.35616,True,True,True,True,True,False,17.47757,3.35616,0.425,2.8638737,0.4922862,tutorial,3.0152826,0.0,501,0.18607412,True,0.0,False
328.3426,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180586,1.595546,1.512157,-0.40652,-0.02815361,0.9132079,1.0568,-2.791091,2.226732,2.699933,0.3853575,-0.6105822,-0.6918735,0.9999999,0.9999999,False,4.129391,3.506982,3.818187,True,True,True,True,True,False,19.27051,3.818187,0.425,2.8638737,0.9543133,tutorial,3.060333,0.0,503,0.35063788,True,0.0,False
330.18,Default,Formar,Writebook_5,-510,Default,tutorial,-1.937049,1.594918,1.512157,8.940697e-08,0.0,1.0,1.686412,-2.928747,2.257503,2.704424,0.5880522,-0.3928964,-0.7069845,0.9999999,0.9999999,False,3.594183,2.783012,3.188597,True,True,True,True,True,False,21.10791,3.188597,0.425,2.8638737,0.32472324,tutorial,3.060333,0.0,506,0.61455584,True,0.0,False
334.1993,Default,Formar,Writebook_5,-510,Default,tutorial,-2.140926,1.635205,1.247942,-0.7071068,0.7071068,8.940697e-08,1.589481,-2.717821,2.271495,2.585394,0.3629456,-0.4003129,-0.8414393,0.767316,0.6136719,False,4.334782,3.524511,3.929646,True,True,True,True,True,False,25.12726,3.929646,0.425,2.8638737,1.0657723,tutorial,3.570978,0.0,515,-1.6804112,True,0.21419558,False
336.7074,Default,Formar,Writebook_5,-510,Default,tutorial,-2.180585,1.595546,1.512157,-0.2906751,-0.1353364,0.9472022,0.9623957,-2.757544,2.230085,2.482561,0.4484861,-0.7296457,-0.5162145,0.9999999,0.9999999,False,3.568389,2.531956,3.050172,True,True,True,True,True,False,27.63535,3.050172,0.425,2.8638737,0.18629837,tutorial,3.570978,0.0,520,0.2644139,True,0.014195586,False
338.3879,Default,Formar,Writebook_5,-510,Default,tutorial,-2.108468,1.667663,1.295751,-0.7071068,0.7071068,8.940697e-08,1.520831,-2.701471,2.290602,2.550032,0.3899208,-0.4096041,-0.824734,0.9999782,0.9999013,False,3.645176,2.677467,3.161321,True,True,True,True,True,False,29.31583,3.161321,0.425,2.8638737,0.2974472,tutorial,3.570978,0.0,523,0.23197272,True,0.014195586,False
344.9503,Default,Formar,Writebook_5,-510,Default,tutorial,-2.175857,1.590817,1.512157,-0.08967721,-0.08967739,0.9919254,0.8591297,-2.609383,2.231565,2.350168,0.4524202,-0.7980013,-0.398133,0.9999999,0.9999999,False,3.303867,2.769397,3.036632,True,True,True,True,True,False,35.8782,3.036632,0.425,2.8638737,0.17275834,tutorial,3.0728076,2.0,533,-2.1960123,True,0.41818184,False
345.4178,Default,Formar,Writebook_5,-510,Default,tutorial,-1.663676,1.135832,1.512157,8.940697e-08,0.0,1.0,1.560306,-2.755668,2.202176,2.336221,0.6998579,-0.6834198,-0.2076927,0.9999999,0.9999999,False,3.343139,2.812059,3.077599,True,True,True,True,True,False,0.1912842,3.077599,0.425,2.8638737,0.21372533,tutorial,3.0728076,2.0,534,0.6491279,True,0.21818183,False
346.4865,Default,Formar,Writebook_5,-510,Default,tutorial,-1.884688,1.299649,1.512157,-0.1093758,-0.1093758,0.9879646,1.358377,-2.809427,2.224648,2.364487,0.6405074,-0.721219,-0.2638056,0.9999999,0.9999999,False,3.628188,2.936252,3.28222,True,True,True,True,True,True,0.0,3.28222,0.425,2.8638737,0.41834617,tutorial,3.0728076,2.0,536,-0.5714423,True,0.3324703,False
355.0632,Default,Formar,Writebook_5,-510,Default,tutorial,-2.062096,1.714035,1.157214,-0.7071068,0.7071068,8.940697e-08,0.2648287,-2.557247,2.228904,1.312331,0.5346758,-0.6091346,-0.5857276,0.9999975,0.9999986,False,2.106043,2.195898,2.15097,True,True,True,True,True,False,0.1111145,2.15097,0.425,2.8638737,-0.71290374,tutorial,3.7351265,2.0,558,0.054420996,True,0.26520714,False
358.4809,Default,Formar,Writebook_5,-510,Default,tutorial,-2.115009,1.661122,1.215891,-0.7071068,0.7071068,8.940697e-08,0.6998397,-2.467557,2.262275,1.151853,0.5037556,-0.8589861,0.09150463,0.9999999,0.9999999,False,3.085404,3.321902,3.203653,True,True,True,True,True,False,3.528748,3.203653,0.425,2.8638737,0.33977938,tutorial,4.159108,2.0,565,-0.54169655,True,0.4583428,False
360.9969,Default,Formar,Writebook_5,-510,Default,tutorial,-2.032272,1.743859,1.066751,-0.7071068,0.7071068,8.940697e-08,0.2743065,-2.549108,2.234431,1.239403,0.5952559,-0.4995085,-0.6294137,0.9990211,0.9986674,False,3.514599,2.497873,3.006236,True,True,True,True,True,False,0.04385376,3.006236,0.425,2.8638737,0.14236236,tutorial,4.159108,1.0,571,-1.2413789,True,0.36818525,False
364.2624,Default,Formar,Writebook_5,-510,Default,tutorial,-2.114766,1.661364,1.512157,-0.2821727,0.2821727,0.9169282,0.572879,-2.596563,2.250738,2.07619,0.5947345,-0.782517,-0.184277,0.9999798,0.9999675,False,3.40815,2.929523,3.168836,True,True,True,True,True,False,3.309326,3.168836,0.425,2.8638737,0.3049624,tutorial,3.4533658,2.5,579,-0.7510124,True,0.4592934,False
366.9353,Default,Formar,Writebook_5,-510,Default,tutorial,-1.947831,1.8283,1.243798,-0.7071068,0.7071068,8.940697e-08,0.9064862,-2.486741,2.366158,0.7518616,0.5945046,-0.5933439,0.5426853,0.9999999,0.9999999,False,3.475727,2.79163,3.133678,True,True,True,True,True,False,5.982208,3.133678,0.425,2.8638737,0.26980424,tutorial,3.4533658,2.0,586,0.25141954,True,0.21818183,False
371.7686,Default,Formar,Writebook_5,-510,Default,tutorial,-2.091799,1.684332,0.9872161,-0.7071068,0.7071068,8.940697e-08,0.7091188,-2.472515,2.251373,0.7965097,0.5368863,-0.799642,0.2689345,0.9999999,0.9999999,False,2.036666,2.838201,2.437433,True,True,True,True,True,False,0.5789185,2.437433,0.425,2.8637474,-0.42631435,tutorial,3.9667077,7.5,598,-0.12082288,True,0.5175061,True
385.8462,Default,Formar,Paper_0,-462,Default,tutorial,0.7129762,1.528834,-2.53455,-5.959049e-08,-0.4960065,0.8683187,4.151622,-2.924327,2.390422,-0.4346168,0.876116,-0.2672668,-0.4012345,0.9999999,0.9999999,False,3.432601,2.921199,3.1769,True,True,True,True,True,False,0.1568298,3.1769,0.425,2.8638754,0.31302452,tutorial,1.9691988,9.5,630,0.21657704,True,0.4,False
396.7858,Default,Formar,Writebook_5,-510,Default,tutorial,-1.756062,1.171023,0.8522273,-0.4627194,-0.4627194,-0.7561625,1.973657,-2.765279,2.288383,-0.7387905,0.3941194,-0.6833611,0.6145628,0.9999999,0.9999999,False,3.158114,2.615782,2.886948,True,True,True,True,True,True,0.0,2.886948,0.425,2.8638737,0.023074389,tutorial,2.460525,7.5,658,-0.14921595,True,0.4298432,False
399.2337,Default,Formar,Writebook_5,-510,Default,tutorial,-1.729113,1.144071,0.8522282,-0.4830883,-0.483088,-0.7302411,2.028425,-2.79267,2.289388,-0.7439157,0.4052472,-0.6837132,0.6068863,0.9999999,0.9999999,False,3.090723,2.458461,2.774592,True,True,True,True,True,False,0.04373169,2.774592,0.425,2.8638737,-0.0892818,tutorial,2.460525,8.0,664,-0.18664289,True,0.43732858,False
402.0305,Default,Formar,Writebook_5,-510,Default,tutorial,-1.625346,1.040306,0.8522272,-0.5431458,-0.5431459,-0.6403011,2.180742,-2.811627,2.280599,-0.7458914,0.4194485,-0.6932808,0.5860246,0.9954583,0.9860334,False,4.243581,2.292645,3.268113,True,True,True,True,True,True,0.0,3.268113,0.425,2.8638737,0.40423918,tutorial,2.460525,8.5,671,-0.4808409,True,0.4961682,False
404.1911,Default,Formar,Writebook_5,-510,Default,tutorial,-1.772395,1.187355,0.8522271,-0.4598394,-0.4598392,-0.7596683,1.965132,-2.805734,2.266374,-0.7535523,0.4088375,-0.6660815,0.6238489,0.9999999,0.9999999,False,2.073252,2.323511,2.198381,True,True,True,True,True,False,0.04608154,2.198381,0.425,2.8638737,-0.6654928,tutorial,,5.5,678,0.34891608,True,0.4,False
